"Park","EcoSite","Plot","AI"
"GLCA","GLCA_B","B01",683.28
"GLCA","GLCA_B","B02",691.19
"GLCA","GLCA_B","B03",693.39
"GLCA","GLCA_B","B04",682.91
"GLCA","GLCA_B","B05",759.23
"GLCA","GLCA_B","B06",686.11
"GLCA","GLCA_B","B07",718.39
"GLCA","GLCA_B","B08",708.52
"GLCA","GLCA_B","B09",676.99
"GLCA","GLCA_B","B10",703.88
"GLCA","GLCA_B","B11",686.99
"GLCA","GLCA_B","B12",738.95
"GLCA","GLCA_H","H01",836.14
"GLCA","GLCA_H","H03",755.63
"GLCA","GLCA_H","H04",767.94
"GLCA","GLCA_H","H05",838.9
"GLCA","GLCA_H","H07",813.74
"GLCA","GLCA_H","H11",745.19
"GLCA","GLCA_H","H12",760.44
"GLCA","GLCA_H","H13",716.28
"GLCA","GLCA_H","H14",778.39
"GLCA","GLCA_H","H15",758.14
"GLCA","GLCA_H","H16",763.63
"GLCA","GLCA_H","H17",846.28
"GLCA","GLCA_P","P01",852.04
"GLCA","GLCA_P","P02",759.79
"GLCA","GLCA_P","P03",759.31
"GLCA","GLCA_P","P04",838.63
"GLCA","GLCA_P","P05",835.38
"GLCA","GLCA_P","P06",846.81
"GLCA","GLCA_P","P07",790.08
"GLCA","GLCA_P","P08",851.89
"GLCA","GLCA_P","P09",808.46
"GLCA","GLCA_P","P10",806.81
"GLCA","GLCA_P","P11",803.54
"GLCA","GLCA_P","P12",792.24
